"X1","RatingNo","RatedUnpleasantness","RowNo","valence","instruction"
48,1,9,1,"Negative","Downregulate"
49,1,19,2,"Negative","Downregulate"
50,1,41,3,"Negative","Downregulate"
51,1,20,4,"Negative","Downregulate"
52,1,4,5,"Negative","Downregulate"
53,1,48,6,"Negative","Downregulate"
54,1,42,7,"Negative","Downregulate"
55,1,29,8,"Negative","Downregulate"
56,1,22,9,"Negative","Downregulate"
57,1,24,10,"Negative","Downregulate"
58,1,NA,11,"Negative","Downregulate"
59,1,13,12,"Negative","Downregulate"
60,1,21,13,"Negative","Downregulate"
61,1,15,14,"Negative","Downregulate"
62,1,24,15,"Negative","Downregulate"
63,1,63,16,"Negative","Downregulate"
64,1,96,17,"Negative","Downregulate"
65,1,29,18,"Negative","Downregulate"
66,1,NA,19,"Negative","Downregulate"
67,1,48,20,"Negative","Downregulate"
68,1,1,21,"Negative","Downregulate"
69,1,12,22,"Negative","Downregulate"
70,1,NA,23,"Negative","Downregulate"
71,1,NA,24,"Negative","Downregulate"
72,1,84,25,"Negative","Downregulate"
73,1,NA,26,"Negative","Downregulate"
74,1,NA,27,"Negative","Downregulate"
75,1,9,28,"Negative","Downregulate"
76,1,0,29,"Negative","Downregulate"
77,1,17,30,"Negative","Downregulate"
78,1,36,31,"Negative","Downregulate"
79,1,51,32,"Negative","Downregulate"
80,1,54,33,"Negative","Downregulate"
81,1,0,34,"Negative","Downregulate"
82,1,24,35,"Negative","Downregulate"
83,1,25,36,"Negative","Downregulate"
84,1,10,37,"Negative","Downregulate"
85,1,50,38,"Negative","Downregulate"
86,1,11,39,"Negative","Downregulate"
48,2,11,1,"Negative","Downregulate"
49,2,8,2,"Negative","Downregulate"
50,2,7,3,"Negative","Downregulate"
51,2,29,4,"Negative","Downregulate"
52,2,7,5,"Negative","Downregulate"
53,2,14,6,"Negative","Downregulate"
54,2,33,7,"Negative","Downregulate"
55,2,24,8,"Negative","Downregulate"
56,2,0,9,"Negative","Downregulate"
57,2,41,10,"Negative","Downregulate"
58,2,NA,11,"Negative","Downregulate"
59,2,15,12,"Negative","Downregulate"
60,2,24,13,"Negative","Downregulate"
61,2,0,14,"Negative","Downregulate"
62,2,0,15,"Negative","Downregulate"
63,2,91,16,"Negative","Downregulate"
64,2,3,17,"Negative","Downregulate"
65,2,20,18,"Negative","Downregulate"
66,2,NA,19,"Negative","Downregulate"
67,2,23,20,"Negative","Downregulate"
68,2,10,21,"Negative","Downregulate"
69,2,37,22,"Negative","Downregulate"
70,2,NA,23,"Negative","Downregulate"
71,2,NA,24,"Negative","Downregulate"
72,2,78,25,"Negative","Downregulate"
73,2,NA,26,"Negative","Downregulate"
74,2,NA,27,"Negative","Downregulate"
75,2,14,28,"Negative","Downregulate"
76,2,0,29,"Negative","Downregulate"
77,2,36,30,"Negative","Downregulate"
78,2,9,31,"Negative","Downregulate"
79,2,26,32,"Negative","Downregulate"
80,2,39,33,"Negative","Downregulate"
81,2,0,34,"Negative","Downregulate"
82,2,62,35,"Negative","Downregulate"
83,2,16,36,"Negative","Downregulate"
84,2,33,37,"Negative","Downregulate"
85,2,11,38,"Negative","Downregulate"
86,2,16,39,"Negative","Downregulate"
48,3,12,1,"Negative","Downregulate"
49,3,23,2,"Negative","Downregulate"
50,3,23,3,"Negative","Downregulate"
51,3,19,4,"Negative","Downregulate"
52,3,23,5,"Negative","Downregulate"
53,3,31,6,"Negative","Downregulate"
54,3,64,7,"Negative","Downregulate"
55,3,34,8,"Negative","Downregulate"
56,3,20,9,"Negative","Downregulate"
57,3,46,10,"Negative","Downregulate"
58,3,NA,11,"Negative","Downregulate"
59,3,11,12,"Negative","Downregulate"
60,3,17,13,"Negative","Downregulate"
61,3,24,14,"Negative","Downregulate"
62,3,10,15,"Negative","Downregulate"
63,3,100,16,"Negative","Downregulate"
64,3,100,17,"Negative","Downregulate"
65,3,26,18,"Negative","Downregulate"
66,3,NA,19,"Negative","Downregulate"
67,3,26,20,"Negative","Downregulate"
68,3,39,21,"Negative","Downregulate"
69,3,21,22,"Negative","Downregulate"
70,3,NA,23,"Negative","Downregulate"
71,3,NA,24,"Negative","Downregulate"
72,3,72,25,"Negative","Downregulate"
73,3,NA,26,"Negative","Downregulate"
74,3,NA,27,"Negative","Downregulate"
75,3,13,28,"Negative","Downregulate"
76,3,0,29,"Negative","Downregulate"
77,3,34,30,"Negative","Downregulate"
78,3,56,31,"Negative","Downregulate"
79,3,10,32,"Negative","Downregulate"
80,3,56,33,"Negative","Downregulate"
81,3,11,34,"Negative","Downregulate"
82,3,49,35,"Negative","Downregulate"
83,3,13,36,"Negative","Downregulate"
84,3,11,37,"Negative","Downregulate"
85,3,5,38,"Negative","Downregulate"
86,3,0,39,"Negative","Downregulate"
48,4,17,1,"Negative","Downregulate"
49,4,3,2,"Negative","Downregulate"
50,4,28,3,"Negative","Downregulate"
51,4,8,4,"Negative","Downregulate"
52,4,5,5,"Negative","Downregulate"
53,4,0,6,"Negative","Downregulate"
54,4,41,7,"Negative","Downregulate"
55,4,21,8,"Negative","Downregulate"
56,4,0,9,"Negative","Downregulate"
57,4,47,10,"Negative","Downregulate"
58,4,NA,11,"Negative","Downregulate"
59,4,19,12,"Negative","Downregulate"
60,4,15,13,"Negative","Downregulate"
61,4,22,14,"Negative","Downregulate"
62,4,13,15,"Negative","Downregulate"
63,4,100,16,"Negative","Downregulate"
64,4,52,17,"Negative","Downregulate"
65,4,47,18,"Negative","Downregulate"
66,4,NA,19,"Negative","Downregulate"
67,4,0,20,"Negative","Downregulate"
68,4,17,21,"Negative","Downregulate"
69,4,60,22,"Negative","Downregulate"
70,4,NA,23,"Negative","Downregulate"
71,4,NA,24,"Negative","Downregulate"
72,4,71,25,"Negative","Downregulate"
73,4,NA,26,"Negative","Downregulate"
74,4,NA,27,"Negative","Downregulate"
75,4,28,28,"Negative","Downregulate"
76,4,0,29,"Negative","Downregulate"
77,4,20,30,"Negative","Downregulate"
78,4,11,31,"Negative","Downregulate"
79,4,50,32,"Negative","Downregulate"
80,4,48,33,"Negative","Downregulate"
81,4,17,34,"Negative","Downregulate"
82,4,42,35,"Negative","Downregulate"
83,4,33,36,"Negative","Downregulate"
84,4,15,37,"Negative","Downregulate"
85,4,0,38,"Negative","Downregulate"
86,4,0,39,"Negative","Downregulate"
48,5,23,1,"Negative","Downregulate"
49,5,0,2,"Negative","Downregulate"
50,5,39,3,"Negative","Downregulate"
51,5,10,4,"Negative","Downregulate"
52,5,0,5,"Negative","Downregulate"
53,5,33,6,"Negative","Downregulate"
54,5,38,7,"Negative","Downregulate"
55,5,0,8,"Negative","Downregulate"
56,5,27,9,"Negative","Downregulate"
57,5,14,10,"Negative","Downregulate"
58,5,NA,11,"Negative","Downregulate"
59,5,0,12,"Negative","Downregulate"
60,5,21,13,"Negative","Downregulate"
61,5,11,14,"Negative","Downregulate"
62,5,11,15,"Negative","Downregulate"
63,5,31,16,"Negative","Downregulate"
64,5,67,17,"Negative","Downregulate"
65,5,23,18,"Negative","Downregulate"
66,5,NA,19,"Negative","Downregulate"
67,5,53,20,"Negative","Downregulate"
68,5,57,21,"Negative","Downregulate"
69,5,21,22,"Negative","Downregulate"
70,5,NA,23,"Negative","Downregulate"
71,5,NA,24,"Negative","Downregulate"
72,5,0,25,"Negative","Downregulate"
73,5,NA,26,"Negative","Downregulate"
74,5,NA,27,"Negative","Downregulate"
75,5,15,28,"Negative","Downregulate"
76,5,0,29,"Negative","Downregulate"
77,5,0,30,"Negative","Downregulate"
78,5,71,31,"Negative","Downregulate"
79,5,0,32,"Negative","Downregulate"
80,5,77,33,"Negative","Downregulate"
81,5,29,34,"Negative","Downregulate"
82,5,11,35,"Negative","Downregulate"
83,5,0,36,"Negative","Downregulate"
84,5,0,37,"Negative","Downregulate"
85,5,21,38,"Negative","Downregulate"
86,5,0,39,"Negative","Downregulate"
48,6,23,1,"Negative","Downregulate"
49,6,0,2,"Negative","Downregulate"
50,6,58,3,"Negative","Downregulate"
51,6,6,4,"Negative","Downregulate"
52,6,0,5,"Negative","Downregulate"
53,6,0,6,"Negative","Downregulate"
54,6,52,7,"Negative","Downregulate"
55,6,12,8,"Negative","Downregulate"
56,6,12,9,"Negative","Downregulate"
57,6,14,10,"Negative","Downregulate"
58,6,NA,11,"Negative","Downregulate"
59,6,2,12,"Negative","Downregulate"
60,6,16,13,"Negative","Downregulate"
61,6,14,14,"Negative","Downregulate"
62,6,15,15,"Negative","Downregulate"
63,6,67,16,"Negative","Downregulate"
64,6,44,17,"Negative","Downregulate"
65,6,64,18,"Negative","Downregulate"
66,6,NA,19,"Negative","Downregulate"
67,6,12,20,"Negative","Downregulate"
68,6,5,21,"Negative","Downregulate"
69,6,9,22,"Negative","Downregulate"
70,6,NA,23,"Negative","Downregulate"
71,6,NA,24,"Negative","Downregulate"
72,6,89,25,"Negative","Downregulate"
73,6,NA,26,"Negative","Downregulate"
74,6,NA,27,"Negative","Downregulate"
75,6,6,28,"Negative","Downregulate"
76,6,0,29,"Negative","Downregulate"
77,6,2,30,"Negative","Downregulate"
78,6,32,31,"Negative","Downregulate"
79,6,69,32,"Negative","Downregulate"
80,6,54,33,"Negative","Downregulate"
81,6,9,34,"Negative","Downregulate"
82,6,44,35,"Negative","Downregulate"
83,6,18,36,"Negative","Downregulate"
84,6,10,37,"Negative","Downregulate"
85,6,0,38,"Negative","Downregulate"
86,6,0,39,"Negative","Downregulate"
48,7,12,1,"Negative","Downregulate"
49,7,0,2,"Negative","Downregulate"
50,7,52,3,"Negative","Downregulate"
51,7,13,4,"Negative","Downregulate"
52,7,0,5,"Negative","Downregulate"
53,7,0,6,"Negative","Downregulate"
54,7,8,7,"Negative","Downregulate"
55,7,15,8,"Negative","Downregulate"
56,7,6,9,"Negative","Downregulate"
57,7,19,10,"Negative","Downregulate"
58,7,NA,11,"Negative","Downregulate"
59,7,4,12,"Negative","Downregulate"
60,7,29,13,"Negative","Downregulate"
61,7,0,14,"Negative","Downregulate"
62,7,14,15,"Negative","Downregulate"
63,7,43,16,"Negative","Downregulate"
64,7,55,17,"Negative","Downregulate"
65,7,0,18,"Negative","Downregulate"
66,7,NA,19,"Negative","Downregulate"
67,7,44,20,"Negative","Downregulate"
68,7,7,21,"Negative","Downregulate"
69,7,21,22,"Negative","Downregulate"
70,7,NA,23,"Negative","Downregulate"
71,7,NA,24,"Negative","Downregulate"
72,7,8,25,"Negative","Downregulate"
73,7,NA,26,"Negative","Downregulate"
74,7,NA,27,"Negative","Downregulate"
75,7,0,28,"Negative","Downregulate"
76,7,0,29,"Negative","Downregulate"
77,7,0,30,"Negative","Downregulate"
78,7,0,31,"Negative","Downregulate"
79,7,0,32,"Negative","Downregulate"
80,7,31,33,"Negative","Downregulate"
81,7,10,34,"Negative","Downregulate"
82,7,0,35,"Negative","Downregulate"
83,7,11,36,"Negative","Downregulate"
84,7,38,37,"Negative","Downregulate"
85,7,26,38,"Negative","Downregulate"
86,7,0,39,"Negative","Downregulate"
48,8,29,1,"Negative","Downregulate"
49,8,9,2,"Negative","Downregulate"
50,8,41,3,"Negative","Downregulate"
51,8,10,4,"Negative","Downregulate"
52,8,10,5,"Negative","Downregulate"
53,8,0,6,"Negative","Downregulate"
54,8,44,7,"Negative","Downregulate"
55,8,12,8,"Negative","Downregulate"
56,8,0,9,"Negative","Downregulate"
57,8,21,10,"Negative","Downregulate"
58,8,NA,11,"Negative","Downregulate"
59,8,0,12,"Negative","Downregulate"
60,8,30,13,"Negative","Downregulate"
61,8,20,14,"Negative","Downregulate"
62,8,1,15,"Negative","Downregulate"
63,8,43,16,"Negative","Downregulate"
64,8,62,17,"Negative","Downregulate"
65,8,44,18,"Negative","Downregulate"
66,8,NA,19,"Negative","Downregulate"
67,8,46,20,"Negative","Downregulate"
68,8,9,21,"Negative","Downregulate"
69,8,50,22,"Negative","Downregulate"
70,8,NA,23,"Negative","Downregulate"
71,8,NA,24,"Negative","Downregulate"
72,8,87,25,"Negative","Downregulate"
73,8,NA,26,"Negative","Downregulate"
74,8,NA,27,"Negative","Downregulate"
75,8,44,28,"Negative","Downregulate"
76,8,0,29,"Negative","Downregulate"
77,8,7,30,"Negative","Downregulate"
78,8,77,31,"Negative","Downregulate"
79,8,27,32,"Negative","Downregulate"
80,8,56,33,"Negative","Downregulate"
81,8,12,34,"Negative","Downregulate"
82,8,46,35,"Negative","Downregulate"
83,8,22,36,"Negative","Downregulate"
84,8,15,37,"Negative","Downregulate"
85,8,0,38,"Negative","Downregulate"
86,8,0,39,"Negative","Downregulate"
48,9,21,1,"Negative","Downregulate"
49,9,3,2,"Negative","Downregulate"
50,9,45,3,"Negative","Downregulate"
51,9,0,4,"Negative","Downregulate"
52,9,3,5,"Negative","Downregulate"
53,9,0,6,"Negative","Downregulate"
54,9,33,7,"Negative","Downregulate"
55,9,0,8,"Negative","Downregulate"
56,9,13,9,"Negative","Downregulate"
57,9,16,10,"Negative","Downregulate"
58,9,NA,11,"Negative","Downregulate"
59,9,9,12,"Negative","Downregulate"
60,9,9,13,"Negative","Downregulate"
61,9,13,14,"Negative","Downregulate"
62,9,16,15,"Negative","Downregulate"
63,9,15,16,"Negative","Downregulate"
64,9,70,17,"Negative","Downregulate"
65,9,60,18,"Negative","Downregulate"
66,9,NA,19,"Negative","Downregulate"
67,9,75,20,"Negative","Downregulate"
68,9,34,21,"Negative","Downregulate"
69,9,4,22,"Negative","Downregulate"
70,9,NA,23,"Negative","Downregulate"
71,9,NA,24,"Negative","Downregulate"
72,9,48,25,"Negative","Downregulate"
73,9,NA,26,"Negative","Downregulate"
74,9,NA,27,"Negative","Downregulate"
75,9,16,28,"Negative","Downregulate"
76,9,0,29,"Negative","Downregulate"
77,9,4,30,"Negative","Downregulate"
78,9,38,31,"Negative","Downregulate"
79,9,15,32,"Negative","Downregulate"
80,9,92,33,"Negative","Downregulate"
81,9,11,34,"Negative","Downregulate"
82,9,4,35,"Negative","Downregulate"
83,9,21,36,"Negative","Downregulate"
84,9,7,37,"Negative","Downregulate"
85,9,37,38,"Negative","Downregulate"
86,9,0,39,"Negative","Downregulate"
48,10,9,1,"Negative","Downregulate"
49,10,4,2,"Negative","Downregulate"
50,10,33,3,"Negative","Downregulate"
51,10,31,4,"Negative","Downregulate"
52,10,17,5,"Negative","Downregulate"
53,10,12,6,"Negative","Downregulate"
54,10,32,7,"Negative","Downregulate"
55,10,28,8,"Negative","Downregulate"
56,10,0,9,"Negative","Downregulate"
57,10,67,10,"Negative","Downregulate"
58,10,NA,11,"Negative","Downregulate"
59,10,0,12,"Negative","Downregulate"
60,10,24,13,"Negative","Downregulate"
61,10,15,14,"Negative","Downregulate"
62,10,2,15,"Negative","Downregulate"
63,10,66,16,"Negative","Downregulate"
64,10,62,17,"Negative","Downregulate"
65,10,14,18,"Negative","Downregulate"
66,10,NA,19,"Negative","Downregulate"
67,10,15,20,"Negative","Downregulate"
68,10,15,21,"Negative","Downregulate"
69,10,75,22,"Negative","Downregulate"
70,10,NA,23,"Negative","Downregulate"
71,10,NA,24,"Negative","Downregulate"
72,10,81,25,"Negative","Downregulate"
73,10,NA,26,"Negative","Downregulate"
74,10,NA,27,"Negative","Downregulate"
75,10,42,28,"Negative","Downregulate"
76,10,0,29,"Negative","Downregulate"
77,10,2,30,"Negative","Downregulate"
78,10,28,31,"Negative","Downregulate"
79,10,22,32,"Negative","Downregulate"
80,10,28,33,"Negative","Downregulate"
81,10,15,34,"Negative","Downregulate"
82,10,33,35,"Negative","Downregulate"
83,10,48,36,"Negative","Downregulate"
84,10,81,37,"Negative","Downregulate"
85,10,3,38,"Negative","Downregulate"
86,10,0,39,"Negative","Downregulate"
48,11,55,1,"Negative","Downregulate"
49,11,3,2,"Negative","Downregulate"
50,11,69,3,"Negative","Downregulate"
51,11,42,4,"Negative","Downregulate"
52,11,25,5,"Negative","Downregulate"
53,11,10,6,"Negative","Downregulate"
54,11,50,7,"Negative","Downregulate"
55,11,16,8,"Negative","Downregulate"
56,11,8,9,"Negative","Downregulate"
57,11,16,10,"Negative","Downregulate"
58,11,NA,11,"Negative","Downregulate"
59,11,0,12,"Negative","Downregulate"
60,11,80,13,"Negative","Downregulate"
61,11,9,14,"Negative","Downregulate"
62,11,30,15,"Negative","Downregulate"
63,11,36,16,"Negative","Downregulate"
64,11,69,17,"Negative","Downregulate"
65,11,11,18,"Negative","Downregulate"
66,11,NA,19,"Negative","Downregulate"
67,11,51,20,"Negative","Downregulate"
68,11,28,21,"Negative","Downregulate"
69,11,54,22,"Negative","Downregulate"
70,11,NA,23,"Negative","Downregulate"
71,11,NA,24,"Negative","Downregulate"
72,11,34,25,"Negative","Downregulate"
73,11,NA,26,"Negative","Downregulate"
74,11,NA,27,"Negative","Downregulate"
75,11,29,28,"Negative","Downregulate"
76,11,0,29,"Negative","Downregulate"
77,11,0,30,"Negative","Downregulate"
78,11,81,31,"Negative","Downregulate"
79,11,49,32,"Negative","Downregulate"
80,11,90,33,"Negative","Downregulate"
81,11,28,34,"Negative","Downregulate"
82,11,6,35,"Negative","Downregulate"
83,11,48,36,"Negative","Downregulate"
84,11,38,37,"Negative","Downregulate"
85,11,35,38,"Negative","Downregulate"
86,11,0,39,"Negative","Downregulate"
48,12,11,1,"Negative","Downregulate"
49,12,32,2,"Negative","Downregulate"
50,12,47,3,"Negative","Downregulate"
51,12,55,4,"Negative","Downregulate"
52,12,34,5,"Negative","Downregulate"
53,12,0,6,"Negative","Downregulate"
54,12,9,7,"Negative","Downregulate"
55,12,52,8,"Negative","Downregulate"
56,12,0,9,"Negative","Downregulate"
57,12,49,10,"Negative","Downregulate"
58,12,NA,11,"Negative","Downregulate"
59,12,0,12,"Negative","Downregulate"
60,12,23,13,"Negative","Downregulate"
61,12,0,14,"Negative","Downregulate"
62,12,2,15,"Negative","Downregulate"
63,12,64,16,"Negative","Downregulate"
64,12,65,17,"Negative","Downregulate"
65,12,33,18,"Negative","Downregulate"
66,12,NA,19,"Negative","Downregulate"
67,12,31,20,"Negative","Downregulate"
68,12,23,21,"Negative","Downregulate"
69,12,57,22,"Negative","Downregulate"
70,12,NA,23,"Negative","Downregulate"
71,12,NA,24,"Negative","Downregulate"
72,12,94,25,"Negative","Downregulate"
73,12,NA,26,"Negative","Downregulate"
74,12,NA,27,"Negative","Downregulate"
75,12,40,28,"Negative","Downregulate"
76,12,13,29,"Negative","Downregulate"
77,12,13,30,"Negative","Downregulate"
78,12,13,31,"Negative","Downregulate"
79,12,64,32,"Negative","Downregulate"
80,12,46,33,"Negative","Downregulate"
81,12,14,34,"Negative","Downregulate"
82,12,93,35,"Negative","Downregulate"
83,12,51,36,"Negative","Downregulate"
84,12,8,37,"Negative","Downregulate"
85,12,26,38,"Negative","Downregulate"
86,12,3,39,"Negative","Downregulate"
48,13,14,1,"Negative","Downregulate"
49,13,5,2,"Negative","Downregulate"
50,13,51,3,"Negative","Downregulate"
51,13,0,4,"Negative","Downregulate"
52,13,0,5,"Negative","Downregulate"
53,13,6,6,"Negative","Downregulate"
54,13,29,7,"Negative","Downregulate"
55,13,6,8,"Negative","Downregulate"
56,13,13,9,"Negative","Downregulate"
57,13,22,10,"Negative","Downregulate"
58,13,NA,11,"Negative","Downregulate"
59,13,37,12,"Negative","Downregulate"
60,13,18,13,"Negative","Downregulate"
61,13,33,14,"Negative","Downregulate"
62,13,24,15,"Negative","Downregulate"
63,13,13,16,"Negative","Downregulate"
64,13,78,17,"Negative","Downregulate"
65,13,13,18,"Negative","Downregulate"
66,13,NA,19,"Negative","Downregulate"
67,13,30,20,"Negative","Downregulate"
68,13,40,21,"Negative","Downregulate"
69,13,13,22,"Negative","Downregulate"
70,13,NA,23,"Negative","Downregulate"
71,13,NA,24,"Negative","Downregulate"
72,13,28,25,"Negative","Downregulate"
73,13,NA,26,"Negative","Downregulate"
74,13,NA,27,"Negative","Downregulate"
75,13,0,28,"Negative","Downregulate"
76,13,0,29,"Negative","Downregulate"
77,13,0,30,"Negative","Downregulate"
78,13,13,31,"Negative","Downregulate"
79,13,22,32,"Negative","Downregulate"
80,13,60,33,"Negative","Downregulate"
81,13,13,34,"Negative","Downregulate"
82,13,6,35,"Negative","Downregulate"
83,13,17,36,"Negative","Downregulate"
84,13,20,37,"Negative","Downregulate"
85,13,21,38,"Negative","Downregulate"
86,13,0,39,"Negative","Downregulate"
48,14,16,1,"Negative","Downregulate"
49,14,4,2,"Negative","Downregulate"
50,14,30,3,"Negative","Downregulate"
51,14,50,4,"Negative","Downregulate"
52,14,79,5,"Negative","Downregulate"
53,14,9,6,"Negative","Downregulate"
54,14,40,7,"Negative","Downregulate"
55,14,0,8,"Negative","Downregulate"
56,14,13,9,"Negative","Downregulate"
57,14,34,10,"Negative","Downregulate"
58,14,NA,11,"Negative","Downregulate"
59,14,0,12,"Negative","Downregulate"
60,14,50,13,"Negative","Downregulate"
61,14,0,14,"Negative","Downregulate"
62,14,3,15,"Negative","Downregulate"
63,14,15,16,"Negative","Downregulate"
64,14,58,17,"Negative","Downregulate"
65,14,22,18,"Negative","Downregulate"
66,14,NA,19,"Negative","Downregulate"
67,14,25,20,"Negative","Downregulate"
68,14,18,21,"Negative","Downregulate"
69,14,50,22,"Negative","Downregulate"
70,14,NA,23,"Negative","Downregulate"
71,14,NA,24,"Negative","Downregulate"
72,14,85,25,"Negative","Downregulate"
73,14,NA,26,"Negative","Downregulate"
74,14,NA,27,"Negative","Downregulate"
75,14,22,28,"Negative","Downregulate"
76,14,0,29,"Negative","Downregulate"
77,14,5,30,"Negative","Downregulate"
78,14,0,31,"Negative","Downregulate"
79,14,24,32,"Negative","Downregulate"
80,14,53,33,"Negative","Downregulate"
81,14,17,34,"Negative","Downregulate"
82,14,50,35,"Negative","Downregulate"
83,14,48,36,"Negative","Downregulate"
84,14,75,37,"Negative","Downregulate"
85,14,12,38,"Negative","Downregulate"
86,14,0,39,"Negative","Downregulate"
48,15,15,1,"Negative","Downregulate"
49,15,14,2,"Negative","Downregulate"
50,15,47,3,"Negative","Downregulate"
51,15,48,4,"Negative","Downregulate"
52,15,52,5,"Negative","Downregulate"
53,15,0,6,"Negative","Downregulate"
54,15,22,7,"Negative","Downregulate"
55,15,7,8,"Negative","Downregulate"
56,15,21,9,"Negative","Downregulate"
57,15,26,10,"Negative","Downregulate"
58,15,NA,11,"Negative","Downregulate"
59,15,0,12,"Negative","Downregulate"
60,15,43,13,"Negative","Downregulate"
61,15,16,14,"Negative","Downregulate"
62,15,22,15,"Negative","Downregulate"
63,15,15,16,"Negative","Downregulate"
64,15,67,17,"Negative","Downregulate"
65,15,58,18,"Negative","Downregulate"
66,15,NA,19,"Negative","Downregulate"
67,15,40,20,"Negative","Downregulate"
68,15,40,21,"Negative","Downregulate"
69,15,51,22,"Negative","Downregulate"
70,15,NA,23,"Negative","Downregulate"
71,15,NA,24,"Negative","Downregulate"
72,15,57,25,"Negative","Downregulate"
73,15,NA,26,"Negative","Downregulate"
74,15,NA,27,"Negative","Downregulate"
75,15,5,28,"Negative","Downregulate"
76,15,0,29,"Negative","Downregulate"
77,15,0,30,"Negative","Downregulate"
78,15,46,31,"Negative","Downregulate"
79,15,20,32,"Negative","Downregulate"
80,15,64,33,"Negative","Downregulate"
81,15,32,34,"Negative","Downregulate"
82,15,31,35,"Negative","Downregulate"
83,15,45,36,"Negative","Downregulate"
84,15,15,37,"Negative","Downregulate"
85,15,20,38,"Negative","Downregulate"
86,15,0,39,"Negative","Downregulate"
48,16,23,1,"Negative","Downregulate"
49,16,6,2,"Negative","Downregulate"
50,16,41,3,"Negative","Downregulate"
51,16,89,4,"Negative","Downregulate"
52,16,8,5,"Negative","Downregulate"
53,16,0,6,"Negative","Downregulate"
54,16,36,7,"Negative","Downregulate"
55,16,26,8,"Negative","Downregulate"
56,16,0,9,"Negative","Downregulate"
